"Pays","Indicateur","Periode","Valeurs"
"Morocco","Emissions totales de GES (kt equivalent CO2)","2000-2019","71305.789345189"
"Mozambique","Emissions totales de GES (kt equivalent CO2)","2000-2019","28306.842302021"
"Myanmar","Emissions totales de GES (kt equivalent CO2)","2000-2019","95455.790469521"
"Namibia","Emissions totales de GES (kt equivalent CO2)","2000-2019","12200.000060232"
"Nauru","Emissions totales de GES (kt equivalent CO2)","2000-2019","62.105263338277"
"Nepal","Emissions totales de GES (kt equivalent CO2)","2000-2019","33236.315777427"
"Netherlands","Emissions totales de GES (kt equivalent CO2)","2000-2019","192429.99910053"
"New Zealand","Emissions totales de GES (kt equivalent CO2)","2000-2019","82081.57870644"
"Nicaragua","Emissions totales de GES (kt equivalent CO2)","2000-2019","15567.368457192"
"Niger","Emissions totales de GES (kt equivalent CO2)","2000-2019","29685.789409437"
"Nigeria","Emissions totales de GES (kt equivalent CO2)","2000-2019","260157.37031635"
"North Macedonia","Emissions totales de GES (kt equivalent CO2)","2000-2019","11512.631566901"
"Norway","Emissions totales de GES (kt equivalent CO2)","2000-2019","48606.31601434"
"Oman","Emissions totales de GES (kt equivalent CO2)","2000-2019","69292.631851999"
"Pakistan","Emissions totales de GES (kt equivalent CO2)","2000-2019","330899.47349147"
"Palau","Emissions totales de GES (kt equivalent CO2)","2000-2019","251.05263135935"
"Panama","Emissions totales de GES (kt equivalent CO2)","2000-2019","15057.894656533"
"Papua New Guinea","Emissions totales de GES (kt equivalent CO2)","2000-2019","17194.210604617"
"Paraguay","Emissions totales de GES (kt equivalent CO2)","2000-2019","40173.157942922"
"Peru","Emissions totales de GES (kt equivalent CO2)","2000-2019","82136.316199052"
"Philippines","Emissions totales de GES (kt equivalent CO2)","2000-2019","169711.05234247"
"Poland","Emissions totales de GES (kt equivalent CO2)","2000-2019","362238.94781815"
"Portugal","Emissions totales de GES (kt equivalent CO2)","2000-2019","71860.000008031"
"Qatar","Emissions totales de GES (kt equivalent CO2)","2000-2019","78626.31566901"
"Romania","Emissions totales de GES (kt equivalent CO2)","2000-2019","113074.20991596"
"Russian Federation","Emissions totales de GES (kt equivalent CO2)","2000-2019","2302990.5299137"
"Rwanda","Emissions totales de GES (kt equivalent CO2)","2000-2019","4030.5263745157"
"Samoa","Emissions totales de GES (kt equivalent CO2)","2000-2019","546.31578922272"
"Sao Tome and Principe","Emissions totales de GES (kt equivalent CO2)","2000-2019","127.36842193102"
"Saudi Arabia","Emissions totales de GES (kt equivalent CO2)","2000-2019","563770.52548057"
"Senegal","Emissions totales de GES (kt equivalent CO2)","2000-2019","22229.999943783"
"Serbia","Emissions totales de GES (kt equivalent CO2)","2000-2019","64470.526243511"
"Seychelles","Emissions totales de GES (kt equivalent CO2)","2000-2019","564.73684154059"
"Sierra Leone","Emissions totales de GES (kt equivalent CO2)","2000-2019","5515.263155887"
"Singapore","Emissions totales de GES (kt equivalent CO2)","2000-2019","57288.947255988"
"Slovak Republic","Emissions totales de GES (kt equivalent CO2)","2000-2019","42356.316215114"
"Slovenia","Emissions totales de GES (kt equivalent CO2)","2000-2019","18172.105086477"
"Solomon Islands","Emissions totales de GES (kt equivalent CO2)","2000-2019","744.73684085043"
"Somalia","Emissions totales de GES (kt equivalent CO2)","2000-2019","25607.368469238"
"South Africa","Emissions totales de GES (kt equivalent CO2)","2000-2019","509410.52567331"
"South Sudan","Emissions totales de GES (kt equivalent CO2)","2000-2019","59715.789192601"
"Spain","Emissions totales de GES (kt equivalent CO2)","2000-2019","361773.684853"
"Sri Lanka","Emissions totales de GES (kt equivalent CO2)","2000-2019","27154.210542378"
"St. Kitts and Nevis","Emissions totales de GES (kt equivalent CO2)","2000-2019","360.52631547577"
"St. Lucia","Emissions totales de GES (kt equivalent CO2)","2000-2019","849.99998619682"
"St. Vincent and the Grenadines","Emissions totales de GES (kt equivalent CO2)","2000-2019","367.36842519359"
"Sudan","Emissions totales de GES (kt equivalent CO2)","2000-2019","94403.158489027"
"Suriname","Emissions totales de GES (kt equivalent CO2)","2000-2019","3448.9473669153"
"Sweden","Emissions totales de GES (kt equivalent CO2)","2000-2019","57490.526098954"
"Switzerland","Emissions totales de GES (kt equivalent CO2)","2000-2019","51772.104966013"
"Syrian Arab Republic","Emissions totales de GES (kt equivalent CO2)","2000-2019","79476.315749319"
"Tajikistan","Emissions totales de GES (kt equivalent CO2)","2000-2019","10247.894789043"
"Tanzania","Emissions totales de GES (kt equivalent CO2)","2000-2019","67897.368581671"
"Thailand","Emissions totales de GES (kt equivalent CO2)","2000-2019","347521.58235249"
"Timor-Leste","Emissions totales de GES (kt equivalent CO2)","2000-2019","5749.9999749033"
"Togo","Emissions totales de GES (kt equivalent CO2)","2000-2019","6136.8421002438"
"Tonga","Emissions totales de GES (kt equivalent CO2)","2000-2019","269.47368289295"
"Trinidad and Tobago","Emissions totales de GES (kt equivalent CO2)","2000-2019","28013.684122186"
"Tunisia","Emissions totales de GES (kt equivalent CO2)","2000-2019","36969.473487452"
"Turkiye","Emissions totales de GES (kt equivalent CO2)","2000-2019","378454.21560187"
"Turkmenistan","Emissions totales de GES (kt equivalent CO2)","2000-2019","130134.20988384"
"Tuvalu","Emissions totales de GES (kt equivalent CO2)","2000-2019","21.578946886094"
"Uganda","Emissions totales de GES (kt equivalent CO2)","2000-2019","31908.947392514"
"Ukraine","Emissions totales de GES (kt equivalent CO2)","2000-2019","322362.63234992"
"United Arab Emirates","Emissions totales de GES (kt equivalent CO2)","2000-2019","194652.63326545"
"United Kingdom","Emissions totales de GES (kt equivalent CO2)","2000-2019","581451.04498612"
"United States","Emissions totales de GES (kt equivalent CO2)","2000-2019","6354490.5170641"
"Uruguay","Emissions totales de GES (kt equivalent CO2)","2000-2019","36165.789252833"
"Uzbekistan","Emissions totales de GES (kt equivalent CO2)","2000-2019","177943.68382504"
"Vanuatu","Emissions totales de GES (kt equivalent CO2)","2000-2019","699.47368533988"
"Venezuela, RB","Emissions totales de GES (kt equivalent CO2)","2000-2019","348293.15908332"
"Vietnam","Emissions totales de GES (kt equivalent CO2)","2000-2019","257163.16142835"
"Yemen, Rep.","Emissions totales de GES (kt equivalent CO2)","2000-2019","40616.315741288"
"Zambia","Emissions totales de GES (kt equivalent CO2)","2000-2019","32262.105439839"
"Zimbabwe","Emissions totales de GES (kt equivalent CO2)","2000-2019","28518.947400545"
